sale_id,book_id,customer_id,sale_date,quantity,total_amount,,,,
1,21,11,09-09-2023,4,1627.88,,,,
2,20,12,19-01-2023,4,1094.64,,,,
3,25,23,07-10-2023,2,876.26,,,,
4,19,17,30-06-2023,3,973.23,,,,
5,3,12,19-11-2023,5,1345.8,,,,
6,30,28,10-01-2023,4,845.56,,,,
7,16,13,01-08-2023,2,277.76,,,,
8,22,11,04-07-2023,2,912.26,,,,
9,5,11,31-07-2023,3,892.32,,,,
10,10,3,12-03-2023,1,401.79,,,,
11,18,6,23-12-2023,4,915.36,,,,
12,12,1,09-01-2023,3,928.32,,,,
13,5,7,02-04-2023,2,738.84,,,,
14,25,6,29-10-2023,5,2135.8,,,,
15,14,13,09-01-2023,1,368.95,,,,
16,17,18,16-01-2023,5,1979.9,,,,
17,12,28,30-12-2023,4,1402.48,,,,
18,12,22,22-05-2023,1,391.38,,,,
19,25,28,14-06-2023,3,1073.1,,,,
20,15,3,09-06-2023,2,961.3,,,,
21,8,5,04-08-2023,4,1106.72,,,,
22,3,27,20-10-2023,1,352.64,,,,
23,3,4,18-10-2023,5,1829.2,,,,
24,7,18,02-08-2023,4,1734.28,,,,
25,1,3,28-10-2023,2,596.06,,,,
26,9,28,27-06-2023,2,454.46,,,,
27,3,3,12-09-2023,4,1021.48,,,,
28,1,3,11-12-2023,1,380.74,,,,
29,25,9,10-04-2023,5,1860,,,,
30,7,3,21-06-2023,3,1026.48,,,,
31,9,21,28-03-2023,2,707.76,,,,
32,10,17,11-05-2023,3,1001.55,,,,
33,11,28,13-11-2023,1,251.45,,,,
34,27,20,27-02-2023,2,517.76,,,,
35,12,28,03-04-2023,3,1417.23,,,,
36,11,18,06-04-2023,4,1832.88,,,,
37,27,1,17-01-2023,4,1985.48,,,,
38,2,19,04-03-2023,3,982.23,,,,
39,1,14,08-04-2023,3,717.36,,,,
40,7,5,24-08-2023,4,1242.96,,,,
41,27,19,28-08-2023,2,422.88,,,,
42,26,16,02-08-2023,2,697.06,,,,
43,9,21,07-11-2023,3,1464.51,,,,13
44,20,8,11-11-2023,2,717.64,,,,25
45,13,16,19-10-2023,2,952.62,,,,
46,9,5,16-10-2023,4,1512.08,,,,9
47,8,24,15-04-2023,1,329.98,,,,26
48,8,26,23-10-2023,5,1786.25,,,,16
49,9,28,01-12-2023,1,198.17,,,,2
50,9,13,08-04-2023,3,1144.02,,,,21
51,21,7,18-12-2023,1,405.96,,,,12
52,13,22,06-06-2023,5,2114.85,,,,23
53,6,17,29-08-2023,3,1149.45,,,,
54,19,12,25-10-2023,2,667.04,,,,
55,18,23,02-07-2023,2,510.12,,,,
56,10,25,30-01-2023,5,1563.35,,,,
57,1,8,31-10-2023,4,862.54,,,,
58,3,24,09-05-2023,3,982.38,,,,
59,24,9,15-06-2023,2,804.16,,,,
60,27,4,17-12-2023,1,477.32,,,,
61,16,26,25-01-2023,3,922.88,,,,
62,5,8,05-04-2023,2,612.4,,,,
63,23,4,16-08-2023,5,1931.65,,,,
64,17,14,18-03-2023,3,943.65,,,,
65,11,22,27-11-2023,1,258.48,,,,
66,20,24,11-02-2023,4,1154.92,,,,
67,25,16,22-04-2023,1,337.62,,,,
68,26,28,03-09-2023,2,676.48,,,,
69,12,4,21-08-2023,1,391.73,,,,
70,6,2,23-02-2023,3,1073.6,,,,
71,5,9,21-09-2023,2,744.8,,,,
72,9,1,02-02-2023,4,1016.5,,,,
73,2,7,14-10-2023,2,514.9,,,,
74,15,28,10-06-2023,5,1922.45,,,,
75,7,13,28-05-2023,1,326.48,,,,
76,4,23,11-01-2023,5,1357.6,,,,
77,20,28,08-10-2023,4,1104.92,,,,
78,21,26,23-09-2023,1,340.9,,,,
79,22,5,07-02-2023,5,1767.5,,,,
80,28,6,06-08-2023,2,735.2,,,,
81,18,15,20-12-2023,1,293.55,,,,
82,23,19,10-11-2023,4,944.16,,,,
83,13,20,13-04-2023,3,963.12,,,,
84,6,1,19-07-2023,5,1843.1,,,,
85,8,26,03-10-2023,2,553.02,,,,
86,17,3,14-12-2023,1,479.5,,,,
87,4,24,21-11-2023,3,896.04,,,,
88,1,10,13-08-2023,1,335.3,,,,
89,10,22,19-06-2023,4,1189.88,,,,
90,24,6,23-03-2023,1,339.94,,,,
91,12,19,26-05-2023,5,1792.4,,,,
92,9,27,02-09-2023,2,589.3,,,,
93,26,2,04-05-2023,5,1805.35,,,,
94,6,1,15-02-2023,3,864.85,,,,
95,23,12,09-10-2023,1,420.94,,,,
96,5,9,16-11-2023,4,1516.6,,,,
97,7,7,05-08-2023,2,702,,,,
98,1,3,30-07-2023,3,951.75,,,,
99,12,16,23-04-2023,1,398.58,,,,
100,24,4,13-01-2023,5,1280.4,,,,
101,13,2,02-08-2023,2,703.4,,,,
102,20,25,22-12-2023,4,1252.8,,,,
103,9,28,23-01-2023,1,333.75,,,,
104,23,3,11-09-2023,3,873.6,,,,
105,8,13,01-11-2023,1,348.88,,,,
106,24,18,05-05-2023,5,1854.5,,,,
107,5,15,29-12-2023,3,966.3,,,,
108,7,17,12-10-2023,4,1042.8,,,,
109,3,21,24-07-2023,2,701.2,,,,
110,2,6,15-01-2023,3,915,,,,
111,16,4,29-11-2023,4,1098.88,,,,
112,22,23,14-09-2023,5,1923,,,,
113,1,11,02-06-2023,2,681.2,,,,
114,26,5,28-03-2023,1,342.75,,,,
115,15,14,19-02-2023,4,1123.6,,,,
116,10,18,29-04-2023,3,935.7,,,,
117,17,1,25-08-2023,5,1682.2,,,,
118,5,25,16-07-2023,2,682.8,,,,
119,6,8,10-02-2023,3,937.65,,,,
120,3,27,12-03-2023,4,1027,,,,
121,24,20,23-10-2023,1,340.9,,,,
122,11,4,04-12-2023,2,731.6,,,,
123,9,2,09-06-2023,5,1812.4,,,,
124,19,13,07-11-2023,4,1132.8,,,,
125,16,9,07-08-2023,2,642,,,,
126,22,11,14-07-2023,1,355.7,,,,
127,20,14,06-12-2023,5,1904.5,,,,
128,3,24,16-05-2023,2,618.2,,,,
129,4,19,08-02-2023,1,318.8,,,,
130,1,28,30-09-2023,3,1005,,,,
131,15,5,05-10-2023,1,359.4,,,,
132,6,2,20-08-2023,5,1793,,,,
133,7,26,18-03-2023,4,1081.2,,,,
134,10,18,11-07-2023,2,682.4,,,,
135,14,3,04-05-2023,3,948.6,,,,
136,17,1,05-09-2023,2,668.8,,,,
137,8,12,11-06-2023,4,1125.6,,,,
138,9,16,07-04-2023,1,337,,,,
139,23,6,03-03-2023,2,623.6,,,,
140,5,22,25-02-2023,1,349.2,,,,
141,10,7,21-05-2023,3,926.4,,,,
142,26,28,15-11-2023,1,390.1,,,,
143,3,17,29-08-2023,5,1729.2,,,,
144,12,2,02-04-2023,2,653,,,,
145,16,5,07-06-2023,4,1082.8,,,,
146,7,9,26-01-2023,3,871.5,,,,
147,24,1,12-09-2023,1,344.8,,,,
148,4,25,06-07-2023,2,615.2,,,,
149,21,14,10-03-2023,5,1753.2,,,,
150,23,22,02-11-2023,4,1167.8,,,,
151,17,18,20-09-2023,2,684,,,,
152,13,7,16-06-2023,5,1743.5,,,,
153,10,20,28-07-2023,3,981.6,,,,
154,21,26,14-02-2023,4,1132.8,,,,
155,9,12,09-11-2023,1,356,,,,
156,14,3,22-05-2023,2,657.8,,,,
157,19,27,13-04-2023,5,1810.5,,,,
158,3,14,12-08-2023,1,327,,,,
159,15,9,11-12-2023,4,1125.6,,,,
160,22,5,22-01-2023,3,914.4,,,,
161,8,4,23-03-2023,2,679.4,,,,
162,26,16,09-05-2023,3,917.6,,,,
163,7,25,30-07-2023,1,345,,,,
164,6,13,04-02-2023,2,676.8,,,,
165,5,28,19-04-2023,3,937.5,,,,
166,20,17,18-09-2023,4,1129.6,,,,
167,4,8,30-03-2023,1,341.2,,,,
168,2,10,09-08-2023,5,1817.5,,,,
169,12,6,25-11-2023,2,690.8,,,,
170,23,21,23-06-2023,1,358,,,,
171,1,14,06-05-2023,3,917,,,,
172,24,13,17-12-2023,2,679,,,,
173,19,2,15-09-2023,4,1137.2,,,,
174,25,11,14-01-2023,1,335.5,,,,
175,16,4,22-10-2023,3,920.1,,,,
176,18,26,13-07-2023,2,693.2,,,,
177,5,23,20-06-2023,3,919.5,,,,
178,14,9,01-03-2023,1,339.2,,,,
179,7,19,30-04-2023,2,679,,,,
180,4,1,03-11-2023,5,1820,,,,
181,16,10,06-08-2023,4,1122.4,,,,
182,8,2,07-01-2023,3,920.3,,,,
183,12,18,18-05-2023,1,349.9,,,,
184,22,7,28-02-2023,2,681.2,,,,
185,13,25,10-10-2023,4,1128.8,,,,
186,11,27,13-12-2023,3,923.7,,,,
187,3,15,06-03-2023,1,327.2,,,,
188,25,12,04-07-2023,2,682.6,,,,
189,20,5,27-09-2023,4,1131,,,,
190,6,22,17-04-2023,1,335,,,,
191,9,1,11-11-2023,2,683.4,,,,
192,14,19,10-06-2023,3,922.1,,,,
193,8,11,24-02-2023,5,1815,,,,
194,7,26,02-08-2023,4,1136,,,,
195,24,23,03-10-2023,2,677.8,,,,
196,16,16,14-03-2023,1,342.5,,,,
197,18,8,19-07-2023,3,922,,,,
198,11,14,21-09-2023,5,1803,,,,
199,5,6,07-12-2023,2,678.4,,,,
200,12,28,13-06-2023,1,339.8,,,,
201,10,18,25-02-2023,3,978,,,,
202,3,23,09-09-2023,1,327,,,,
203,19,5,19-03-2023,2,681.6,,,,
204,17,26,03-06-2023,1,339,,,,
205,11,20,04-08-2023,3,918.6,,,,
206,4,12,30-11-2023,2,678.2,,,,
207,6,7,16-01-2023,1,334,,,,
208,23,28,25-10-2023,4,1131,,,,
209,25,8,07-07-2023,3,919.2,,,,
210,2,16,15-02-2023,2,678.4,,,,
211,14,4,10-12-2023,1,336.8,,,,
212,12,19,27-03-2023,4,1129.6,,,,
213,15,21,14-11-2023,3,921.5,,,,
214,17,3,21-04-2023,2,681.4,,,,
215,9,22,11-07-2023,4,1123.6,,,,
216,5,1,14-08-2023,3,917.4,,,,
217,18,6,30-09-2023,1,339.6,,,,
218,20,10,01-02-2023,2,679.8,,,,
219,3,14,26-11-2023,5,1817.5,,,,
220,16,9,30-08-2023,4,1126.4,,,,
221,7,24,04-01-2023,2,679.2,,,,
222,22,17,22-03-2023,3,920.8,,,,
223,12,13,17-06-2023,1,339,,,,
224,19,27,29-07-2023,4,1132.4,,,,
225,8,25,12-05-2023,3,919.6,,,,
226,14,4,13-09-2023,2,678,,,,
227,10,6,21-11-2023,1,339.6,,,,
228,15,28,19-02-2023,3,921.2,,,,
229,21,12,26-08-2023,4,1130.8,,,,
230,16,11,05-04-2023,5,1821,,,,
231,24,18,02-12-2023,2,678.8,,,,
232,3,19,11-10-2023,4,1133.2,,,,
233,20,13,12-01-2023,1,337.4,,,,
234,7,25,03-04-2023,2,679.4,,,,
235,2,6,18-05-2023,1,338.2,,,,
236,23,3,08-11-2023,3,920.4,,,,
237,6,9,10-03-2023,4,1131.4,,,,
238,9,7,08-08-2023,1,337.2,,,,
239,14,26,18-12-2023,2,680.2,,,,
240,17,5,17-07-2023,3,918.2,,,,
241,5,14,03-05-2023,4,1128.4,,,,
242,19,20,21-10-2023,1,337.6,,,,
243,12,2,10-01-2023,2,679.8,,,,
244,16,28,07-02-2023,3,919,,,,
245,3,18,29-11-2023,4,1130.4,,,,
246,21,16,27-04-2023,1,336.4,,,,
247,10,12,16-09-2023,2,680,,,,
248,24,22,04-12-2023,3,919.8,,,,
249,8,13,24-05-2023,4,1127.6,,,,
250,6,19,21-06-2023,1,338.4,,,,
251,15,25,20-04-2023,2,679,,,,
252,23,4,14-07-2023,1,337.8,,,,
253,19,14,19-11-2023,3,918.8,,,,
254,6,21,30-03-2023,2,678.6,,,,
255,9,3,09-06-2023,4,1129.2,,,,
256,20,2,06-05-2023,1,337.2,,,,
257,18,6,01-08-2023,2,680,,,,
258,11,7,15-12-2023,1,336.2,,,,
259,12,16,23-10-2023,3,920.6,,,,
260,5,19,12-02-2023,4,1131,,,,
261,24,5,17-04-2023,2,679.4,,,,
262,14,23,01-07-2023,3,921,,,,
263,25,18,06-01-2023,1,336,,,,
264,2,22,05-10-2023,4,1132.4,,,,
265,19,9,17-11-2023,2,680.4,,,,
266,10,24,28-09-2023,1,338,,,,
267,16,8,13-06-2023,3,920.2,,,,
268,21,12,09-01-2023,4,1130.6,,,,
269,7,27,01-11-2023,1,336.6,,,,
270,17,5,25-02-2023,2,681.2,,,,
271,15,28,22-08-2023,4,1131.8,,,,
272,3,23,14-04-2023,2,680.8,,,,
273,6,13,01-12-2023,1,338.6,,,,
274,22,4,10-10-2023,3,921.2,,,,
275,12,15,05-03-2023,2,678.2,,,,
276,20,17,19-07-2023,3,920.4,,,,
277,9,14,23-09-2023,4,1129.8,,,,
278,18,6,01-05-2023,1,337,,,,
279,21,19,28-02-2023,2,679.2,,,,
280,10,28,18-01-2023,3,918.4,,,,
281,2,22,09-04-2023,1,337.4,,,,
282,5,8,09-12-2023,2,679.6,,,,
283,11,25,02-08-2023,4,1130.8,,,,
284,14,17,26-06-2023,3,920.8,,,,
285,23,16,04-07-2023,1,337.8,,,,
286,16,3,13-05-2023,2,680.2,,,,
287,7,14,28-01-2023,1,337.2,,,,
288,8,27,04-04-2023,3,919,,,,
289,9,24,12-09-2023,4,1132,,,,
290,18,20,30-06-2023,1,338.4,,,,
291,4,13,21-02-2023,2,679.8,,,,
292,19,8,10-11-2023,3,921.4,,,,
293,10,21,23-05-2023,4,1131.6,,,,
294,11,12,17-08-2023,1,338.8,,,,
